"RLS_category_2","label","mean_cover_present"
"Ahermatypic corals","Tubastrea",1.5
"Ahermatypic corals","Tubastrea coccinea",2
"Ahermatypic corals","Tubastrea micranthus",1.1
"Bottlebrush Acropora corals","Acropora carduus",2.57142857142857
"Bottlebrush Acropora corals","Acropora echinata",1
"Bottlebrush Acropora corals","Acropora elseyi",4.725
"Bottlebrush Acropora corals","Acropora longicyathus",3.4875
"Bottlebrush Acropora corals","Acropora striata",1
"Bottlebrush Acropora corals","Acropora subglabra",2.1
"Bottlebrush Acropora corals","Acropora turaki",2.59333333333333
"Bottlebrush Acropora corals","Bottlebrush Acropora corals",1.28
"Branching Acropora","Acropora abrolhosensis",5.53684210526316
"Branching Acropora","Acropora austera",2.82682926829268
"Branching Acropora","Acropora Bushy arborescent",2.268
"Branching Acropora","Acropora grandis",3.64
"Branching Acropora","Acropora horrida",3.6
"Branching Acropora","Acropora intermedia",2.76764705882353
"Branching Acropora","Acropora loisetteae",3
"Branching Acropora","Acropora lovelli",4
"Branching Acropora","Acropora microphthalma",5.03846153846154
"Branching Acropora","Acropora muricata",5.39859154929577
"Branching Acropora","Acropora pulchra",3.04545454545455
"Branching Acropora","Acropora Staghorn",2.93510638297872
"Branching Acropora","Acropora vaughani",3.12857142857143
"Branching Acropora","Acropora yongei",2.5
"Branching Acropora","Branching Acropora",1.625
"Branching corals","Alveopora catalai",3.9
"Branching corals","Anacropora Branching",1
"Branching corals","Branching corals",1.00952380952381
"Branching corals","Cyphastrea Branching",1
"Branching corals","Echinopora ashmorensis",3.17142857142857
"Branching corals","Echinopora horrida",1.71428571428571
"Branching corals","Galaxea horrescens",2
"Branching corals","Hydnophora Branching",2
"Branching corals","Hydnophora rigida",1.40454545454545
"Branching corals","Isopora Branching",1.6
"Branching corals","Isopora brueggemanni",6.27142857142857
"Branching corals","Isopora cylindrica",1
"Branching corals","Isopora elizabethensis",1.5
"Branching corals","Montipora digitata",2
"Branching corals","Montipora stellata",1.66666666666667
"Branching corals","Pavona cactus",3.5
"Branching corals","Pectinia teres",1
"Branching corals","Pocillopora",1.22222222222222
"Branching corals","Pocillopora damicornis",1.65656565656566
"Branching corals","Pocillopora danae",2.6
"Branching corals","Pocillopora eydouxi",1.70666666666667
"Branching corals","Pocillopora meandrina",1.68444444444444
"Branching corals","Pocillopora verrucosa",2.1684
