"","Acanthastrea.Submassive","Acropora.Arborescent.table","Acropora.Bottlebrush","Acropora.Branching","Acropora.Corymbose","Acropora.Digitate","Acropora.Staghorn","Acropora.Tabular","Alveopora.Branching","Alveopora.Submassive","Anacropora","Astrea","Astreopora.Encrusting","Astreopora.Hemispherical","Astreopora.Solid.plates","Astreopora.Submassive","Coeloseris","Coral.Branching","Coral.Columnar","Coral.Digitate","Coral.Encrusting","Coral.Foliose.Plate","Coral.massive","Coral.Submassive","Corals","Coscinaraea.Submassive","Ctenactis","Cycloseris","Cynarina","Cyphastrea.Encrusting","Cyphastrea.Hemispherical","Cyphastrea.Submassive","Diploastrea","Echinophyllia.Encrusting","Echinopora.branching","Echinopora.Branching","Echinopora.Encrusting","Echinopora.Plating","Echinopora.Submassive","Euphyllia","Favia.Hemispherical","Favia.Submassive","Favites.Encrusting","Favites.Hemispherical","Favites.Submassive","Fungia","Galaxea.Branching","Galaxea.Submassive","Gardineroseris","Goniastrea.Hemispherical","Goniastrea.Submassive","Goniopora","Goniopora.Columnar.or.digitate","Goniopora.Encrusting","Goniopora.Hemispherical","Goniopora.Submassive","Halomitra","Heliofungia","Heliopora","Herpolitha","Hydnophora.Branching","Hydnophora.Encrusting","Hydnophora.Submassive","Isopora.Branching","Isopora.Columnar.or.digitate","Isopora.Encrusting","Isopora.Submassive","Leptastrea.Encrusting","Leptastrea.Submassive","Leptoria","Leptoseris.Encrusting","Lobophyllia.Hemispherical","Lobophyllia.Submassive","Merulina.Submassive","Millepora.Branching","Millepora.Submassive","Montipora.Branching","Montipora.Encrusting","Montipora.Foliose.plate","Montipora.Submassive","Moseleya","Mycedium.Foliose.Plate","Oulophyllia.Hemispherical","Oxypora.Encrusting.plate","Pachyseris","Pachyseris.Encrusting","Pachyseris.Foliose","Pachyseris.Submassive","Pavona.Branching","Pavona.Encrusting.plate","Pavona.Submassive","Pectinia.Branching","Pectinia.Encrusting","Phymastrea.Submassive","Physogyra","Platygyra.Hemispherical","Platygyra.Submassive","Plesiastrea","Pocillopora.Branching","Podabacia","Porites.Branching","Porites.Encrusting","Porites.Foliose.plate","Porites.Massive","Porites.Submassive","Psammocora.Branching","Psammocora.Encrusting","Psammocora.Submassive","Sandalolitha","Seriatopora","Stony.corals","Stylocoeniella","Stylophora","Symphyllia.Hemispherical","Symphyllia.Submassive","Tubastrea","Tubipora","Turbinaria.Encrusting","Turbinaria.Foliose.plates"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"5",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"8",0,0,0.5,0.5,1.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
"9",0,0,0,0,1.5,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
"10",0,0,0,0.5,5,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
